,normalized-losses,wheel-base,length,width,height,curb-weight,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,103.0,104.3,188.8,67.2,56.2,2912.0,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,16764.138456487133
1,74.0,104.3,188.8,67.2,57.5,3034.0,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,17756.276278480298
2,95.0,109.1,188.8,68.9,55.5,2952.0,3.78,3.15,9.5,114.0,5400.0,23.0,28.0,17089.429545665225
3,95.0,109.1,188.8,68.8,55.5,3049.0,3.78,3.15,8.7,160.0,5300.0,19.0,25.0,21646.866138049452
4,95.0,109.1,188.8,68.9,55.5,3217.0,3.01,3.4,23.0,106.0,4800.0,26.0,27.0,18589.073324317447
5,91.0,95.7,166.3,64.4,52.8,2122.0,3.19,3.03,9.0,70.0,4800.0,28.0,34.0,6734.88616588072
6,91.0,95.7,166.3,64.4,52.8,2140.0,3.19,3.03,9.0,70.0,4800.0,28.0,34.0,6881.267156010859
7,168.0,94.5,168.7,64.0,52.6,2169.0,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,7117.103195664973
8,168.0,94.5,168.7,64.0,52.6,2204.0,3.19,3.03,9.0,70.0,4800.0,29.0,34.0,7401.732898695796
9,65.0,102.4,175.6,66.5,54.9,2326.0,3.31,3.54,8.7,92.0,4200.0,29.0,34.0,10196.247360358573
10,65.0,102.4,175.6,66.5,54.9,2480.0,3.27,3.35,22.5,73.0,4500.0,30.0,33.0,9892.020046706804
11,65.0,102.4,175.6,66.5,53.9,2414.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,10911.887756550359
12,65.0,102.4,175.6,66.5,54.9,2414.0,3.31,3.54,8.7,92.0,4200.0,27.0,32.0,10911.887756550359
13,118.0,95.9,173.2,66.3,50.2,2818.0,3.59,3.86,7.0,145.0,5000.0,19.0,24.0,18539.416934634908
14,186.0,94.5,168.9,68.3,50.2,2778.0,3.94,3.11,9.5,143.0,5500.0,19.0,27.0,18050.27342366868
15,118.0,89.5,168.9,65.0,51.6,2756.0,3.74,2.9,9.5,207.0,5900.0,17.0,25.0,23114.64082184143
16,122.0,94.5,165.3,63.8,54.5,1938.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,5156.620944767454
17,103.0,94.5,170.2,63.8,53.5,2024.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,5855.99678650034
18,128.0,94.5,165.3,63.8,54.5,1951.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,5262.340548750331
19,128.0,94.5,165.6,63.8,53.3,2028.0,3.15,3.29,9.4,69.0,5200.0,31.0,37.0,5888.525895418146
20,93.0,115.6,202.6,71.7,56.3,3770.0,3.58,3.64,21.5,123.0,4350.0,22.0,25.0,24478.96821740373
21,118.0,115.6,202.6,71.7,56.5,3740.0,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,26856.63864913051
22,142.0,96.6,180.3,70.5,50.8,3685.0,3.46,3.1,8.3,155.0,4750.0,16.0,18.0,26409.363401510644
23,118.0,120.9,208.1,71.7,56.7,3900.0,3.8,3.35,8.0,184.0,4500.0,14.0,16.0,30533.66312177098
24,158.0,105.8,192.7,71.4,55.9,3086.0,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,20309.236177657716
25,118.0,99.5,178.2,67.9,52.0,3053.0,3.13,3.4,7.0,160.0,5500.0,16.0,22.0,21679.395246967266
26,192.0,101.2,176.8,64.8,54.3,2395.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,11494.710387237426
27,192.0,101.2,176.8,64.8,54.3,2395.0,3.5,2.8,8.8,101.0,5800.0,23.0,29.0,11494.710387237426
28,148.0,93.7,157.3,63.8,50.6,1989.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,5489.440872575442
